Nº  da AF,Tipo,Nome do Fornecedor,Filial,A.F. Principal,"Tem
Filha",Fornecedor,Nome da Filial,Comprador,Nome do Comprador,Un. Compr.,"Dados
Repres.","Data da
AF","Dt. Últ.
Receb.","Cond.
Pag.",Unidade,"Desconto
 (R$/%)","Outras
Despesas","Valor Total
Pedido (R$)",ST,Autoriz,Origem,Origem,Dev,"Impressa/
Enviada",Transp. 1,Cond. Pag T1,Frete T1,Transp 2,Cond. Pag. T2,Frete T2,"Fnt.
Recurso","Tipo Frete
Interno","Guia
Importação","Núm.
Contrato","Núm.
Licitação",Multa Atraso,Qtd dias,Ind. Data Base,Autorizador,Moeda,"Data de
Validade","Código
Referência",Val. Tot. Financeiro,Valor Total Integral,"Recebto
Confirmado",Modalidade,Modalidade,XML Gerado,Aceita,Data Aceite,Total Valor Pendente,Total Qtde. Pendente
00003424,N,UBER DO BRASIL TECNOLOGIA LTDA.,13,00003424,N,10038,C.E.S.A.R - CURITIBA,25,VICTOR SOUZA,,Não,1/3/2022,12/30/2021,08,001,0,0,"27,98",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"27,98","27,98",Não,00000001,Padrão,,S,1/3/2022,0,0
00003425,N,COLETIVO BATEL - ESPACO DE COWORKING LTDA.,13,00003425,N,10797,C.E.S.A.R - CURITIBA,34,ALINE DAVINO DA SILVA ,,Não,1/4/2022,1/10/2022,00,001,0,0,"7.867,25",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"7.867,25","7.867,25",Não,00000001,Padrão,,S,1/4/2022,0,0
00003426,N,FIT IN COMPANY TREINAMENTOS ESPORTIVOS - EIRELI - ME,13,00003426,N,8043,C.E.S.A.R - CURITIBA,25,VICTOR SOUZA,,Não,1/10/2022,1/10/2022,00,001,0,0,"1.786,00",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"1.786,00","1.786,00",Não,00000001,Padrão,,S,1/10/2022,0,0
00003427,N,EMPRESA BRASILEIRA DE CORREIOS E TELEGRÁFOS,13,00003427,N,5340,C.E.S.A.R - CURITIBA,25,VICTOR SOUZA,,Não,1/10/2022,1/10/2022,00,001,0,0,"770,88",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"770,88","770,88",Não,00000001,Padrão,,S,1/10/2022,0,0
00003428,N,BANCO SANTANDER BRASIL (CARTÃO) ,13,00003428,N,5755,C.E.S.A.R - CURITIBA,34,ALINE DAVINO DA SILVA ,,Não,1/11/2022,1/20/2022,01,001,0,0,"10,75",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"10,75","10,75",Não,00000001,Padrão,,S,1/11/2022,0,0
00003429,N,BANCO SANTANDER BRASIL (CARTÃO) ,13,00003429,N,5755,C.E.S.A.R - CURITIBA,34,ALINE DAVINO DA SILVA ,,Não,1/11/2022,1/20/2022,01,001,0,0,"8,39",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"8,39","8,39",Não,00000001,Padrão,,S,1/11/2022,0,0
00003431,N,AMAZON AWS SERVICOS BRASIL LTDA,13,00003431,N,10757,C.E.S.A.R - CURITIBA,34,ALINE DAVINO DA SILVA ,,Não,1/11/2022,1/20/2022,00,001,0,0,"743,53",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"743,53","743,53",Não,00000001,Padrão,,S,1/11/2022,0,0
00003432,N,UBER DO BRASIL TECNOLOGIA LTDA.,13,00003432,N,10038,C.E.S.A.R - CURITIBA,25,VICTOR SOUZA,,Não,2/2/2022,1/28/2022,08,001,0,0,"159,28",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"159,28","159,28",Não,00000001,Padrão,,S,2/2/2022,0,0
00003433,N,COLETIVO BATEL - ESPACO DE COWORKING LTDA.,13,00003433,N,10797,C.E.S.A.R - CURITIBA,34,ALINE DAVINO DA SILVA ,,Não,2/2/2022,2/2/2022,00,001,0,0,"7.867,25",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"7.867,25","7.867,25",Não,00000001,Padrão,,S,2/2/2022,0,0
00003434,N,EMPRESA BRASILEIRA DE CORREIOS E TELEGRÁFOS,13,00003434,N,5340,C.E.S.A.R - CURITIBA,25,VICTOR SOUZA,,Não,2/9/2022,2/9/2022,00,001,0,0,"867,24",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"867,24","867,24",Não,00000001,Padrão,,S,2/9/2022,0,0
