Nº  da AF,Tipo,Nome do Fornecedor,Filial,A.F. Principal,"Tem
Filha",Fornecedor,Nome da Filial,Comprador,Nome do Comprador,Un. Compr.,"Dados
Repres.","Data da
AF","Dt. Últ.
Receb.","Cond.
Pag.",Unidade,"Desconto
 (R$/%)","Outras
Despesas","Valor Total
Pedido (R$)",ST,Autoriz,Origem,Origem,Dev,"Impressa/
Enviada",Transp. 1,Cond. Pag T1,Frete T1,Transp 2,Cond. Pag. T2,Frete T2,"Fnt.
Recurso","Tipo Frete
Interno","Guia
Importação","Núm.
Contrato","Núm.
Licitação",Multa Atraso,Qtd dias,Ind. Data Base,Autorizador,Moeda,"Data de
Validade","Código
Referência",Val. Tot. Financeiro,Valor Total Integral,"Recebto
Confirmado",Modalidade,Modalidade,XML Gerado,Aceita,Data Aceite,Total Valor Pendente,Total Qtde. Pendente
00003357,N,CONDOMINIO THE PLACE BUSINESS CENTER,016,00003357,N,8268,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/3/2022,1/3/2022,00,001,0,0,"509,41",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"509,41","509,41",Não,00000001,Padrão,,S,1/3/2022,0,0
00003358,N,CONDOMINIO THE PLACE BUSINESS CENTER,016,00003358,N,8268,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/3/2022,1/3/2022,00,001,0,0,"499,92",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"499,92","499,92",Não,00000001,Padrão,,S,1/3/2022,0,0
00003359,N,CONDOMINIO THE PLACE BUSINESS CENTER,016,00003359,N,8268,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/3/2022,1/3/2022,00,001,0,0,"499,92",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"499,92","499,92",Não,00000001,Padrão,,S,1/3/2022,0,0
00003360,N,CONDOMINIO THE PLACE BUSINESS CENTER,016,00003360,N,8268,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/3/2022,1/3/2022,00,001,0,0,"499,92",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"499,92","499,92",Não,00000001,Padrão,,S,1/3/2022,0,0
00003361,N,CONDOMINIO THE PLACE BUSINESS CENTER,016,00003361,N,8268,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/3/2022,1/3/2022,00,001,0,0,"499,92",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"499,92","499,92",Não,00000001,Padrão,,S,1/3/2022,0,0
00003362,N,CONDOMINIO THE PLACE BUSINESS CENTER,016,00003362,N,8268,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/3/2022,1/3/2022,00,001,0,0,"580,42",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"580,42","580,42",Não,00000001,Padrão,,S,1/3/2022,0,0
00003363,N,CONDOMINIO THE PLACE BUSINESS CENTER,016,00003363,N,8268,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/3/2022,1/3/2022,00,001,0,0,"502,89",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"502,89","502,89",Não,00000001,Padrão,,S,1/3/2022,0,0
00003364,N,CONDOMINIO THE PLACE BUSINESS CENTER,016,00003364,N,8268,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/3/2022,1/3/2022,00,001,0,0,"502,89",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"502,89","502,89",Não,00000001,Padrão,,S,1/3/2022,0,0
00003365,N,CONDOMINIO THE PLACE BUSINESS CENTER,016,00003365,N,8268,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/3/2022,1/3/2022,00,001,0,0,"390,86",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"390,86","390,86",Não,00000001,Padrão,,S,1/3/2022,0,0
00003366,N,CONDOMINIO THE PLACE BUSINESS CENTER,016,00003366,N,8268,C.E.S.A.R - NORTE,25,VICTOR SOUZA,,Não,1/3/2022,1/3/2022,00,001,0,0,"509,41",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"509,41","509,41",Não,00000001,Padrão,,S,1/3/2022,0,0
