Nº  da AF,Tipo,Nome do Fornecedor,Filial,A.F. Principal,"Tem
Filha",Fornecedor,Nome da Filial,Comprador,Nome do Comprador,Un. Compr.,"Dados
Repres.","Data da
AF","Dt. Últ.
Receb.","Cond.
Pag.",Unidade,"Desconto
 (R$/%)","Outras
Despesas","Valor Total
Pedido (R$)",ST,Autoriz,Origem,Origem,Dev,"Impressa/
Enviada",Transp. 1,Cond. Pag T1,Frete T1,Transp 2,Cond. Pag. T2,Frete T2,"Fnt.
Recurso","Tipo Frete
Interno","Guia
Importação","Núm.
Contrato","Núm.
Licitação",Multa Atraso,Qtd dias,Ind. Data Base,Autorizador,Moeda,"Data de
Validade","Código
Referência",Val. Tot. Financeiro,Valor Total Integral,"Recebto
Confirmado",Modalidade,Modalidade,XML Gerado,Aceita,Data Aceite,Total Valor Pendente,Total Qtde. Pendente
00003211,N,LIBRA IMÓVEIS E NEGÓCIOS LTDA.,015,00003211,N,9361,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,1/3/2022,12/23/2021,00,001,0,0,"9.950,30",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"9.950,30","9.950,30",Não,00000001,Padrão,,S,1/3/2022,0,0
00003212,N,COMPANHIA PIRATININGA DE FORÇA E LUZ,015,00003212,N,9398,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,1/3/2022,12/30/2021,00,001,0,0,"83,69",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"83,69","83,69",Não,00000001,Padrão,,S,1/3/2022,0,0
00003213,N,COMPANHIA PIRATININGA DE FORÇA E LUZ,015,00003213,N,9398,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,1/3/2022,12/23/2021,00,001,0,0,"136,44",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"136,44","136,44",Não,00000001,Padrão,,S,1/3/2022,0,0
00003214,N,COMPANHIA PIRATININGA DE FORÇA E LUZ,015,00003214,N,9398,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,1/3/2022,12/30/2021,00,001,0,0,"574,44",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"574,44","574,44",Não,00000001,Padrão,,S,1/3/2022,0,0
00003215,N,COMPANHIA PIRATININGA DE FORÇA E LUZ,015,00003215,N,9398,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,1/3/2022,12/23/2021,00,001,0,0,"323,6",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"323,6","323,6",Não,00000001,Padrão,,S,1/3/2022,0,0
00003216,N,EDIFICIO PLANETA OFFICE CENTER,015,00003216,N,9363,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,1/5/2022,1/5/2022,00,001,0,0,"680,4",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"680,4","680,4",Não,00000001,Padrão,,S,1/5/2022,0,0
00003217,N,EDIFICIO PLANETA OFFICE CENTER,015,00003217,N,9363,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,1/5/2022,1/5/2022,00,001,0,0,"538,19",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"538,19","538,19",Não,00000001,Padrão,,S,1/5/2022,0,0
00003218,N,EDIFICIO PLANETA OFFICE CENTER,015,00003218,N,9363,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,1/5/2022,1/5/2022,00,001,0,0,"538,31",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"538,31","538,31",Não,00000001,Padrão,,S,1/5/2022,0,0
00003219,N,EDIFICIO PLANETA OFFICE CENTER,015,00003219,N,9363,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,1/5/2022,1/5/2022,00,001,0,0,"538,19",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"538,19","538,19",Não,00000001,Padrão,,S,1/5/2022,0,0
00003220,N,EDIFICIO PLANETA OFFICE CENTER,015,00003220,N,9363,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,1/5/2022,1/5/2022,00,001,0,0,"680,4",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"680,4","680,4",Não,00000001,Padrão,,S,1/5/2022,0,0
